R1005FDF2	2304 MNXM1@MNXC3 + 171 MNXM114@MNXC3 + 115 MNXM134@MNXC3 + 533 MNXM140@MNXC3 + 300 MNXM142@MNXC3 + 247 MNXM147@MNXC3 + 252 MNXM199@MNXC3 + 285 MNXM231@MNXC3 + 207 MNXM29@MNXC3 + 275 MNXM32@MNXC3 + 230 MNXM37@MNXC3 + 233 MNXM42@MNXC3 + 392 MNXM53@MNXC3 + 25 MNXM55@MNXC3 + 79 MNXM61@MNXC3 + 2280 MNXM7@MNXC3 + 150 MNXM70@MNXC3 + 151 MNXM76@MNXC3 + 357 MNXM78@MNXC3 + 298 MNXM89557@MNXC3 + 2280 MNXM9@MNXC3 + 37 MNXM94@MNXC3 + 224 MNXM97@MNXC3 <-- 2280 MNXM2@MNXC3 + 2280 MNXM3@MNXC3 + 1 MNXMK0051@MNXC3	R_r1341			model:Exchange/demand reaction	
R104B5A88	1 MNXM8@MNXC3 <==> 1 MNXM8@MNXC6	R_NADtn	MNXR101900		model:Transport, endoplasmic reticular;model:Transport, mitochondrial;model:Transport, nuclear;model:Transport, peroxisomal	bigg:NADth;bigg:NADtm;bigg:NADtn;bigg:NADtru;bigg:NADts;bigg:NADtx;bigg:R_NADth;bigg:R_NADtm;bigg:R_NADtn;bigg:R_NADtru;bigg:R_NADts;bigg:R_NADtx;deprecated:MNXR3772;metacyc:RXN-5802;sabiork:13975;seed:rxn13361
R10527FBB	1 MNXM1@MNXC4 + 1 MNXM33@MNXC4 + 1 MNXM90161@MNXC4 --> 1 MNXM38@MNXC4 + 1 MNXM468681@MNXC4	R_FAOXTC101TC102m			model:Unassigned	
R10537924	1 MNXM01@MNXC2 + 1 MNXM32@MNXC2 <==> 1 MNXM01@MNXC3 + 1 MNXM32@MNXC3	R_ALAt2r	MNXR95704		model:Transport, extracellular;model:Transport, lysosomal	rhea:29443;rhea:29444;rhea:29445;rhea:29446;bigg:ALAt2pp;bigg:ALAt2r;bigg:ALAt2rL;bigg:ALAtm;bigg:ALAtx;bigg:R_ALAt2pp;bigg:R_ALAt2r;bigg:R_ALAt2rL;bigg:R_ALAtm;bigg:R_ALAtx;metacyc:RXN0-5202;sabiork:13939#1;seed:rxn05496;seed:rxn08101
R105E9F37	1 MNXM1197@MNXC2 + 1 MNXM162248@MNXC3 + 1 MNXM96530@MNXC3 <==> 1 MNXM1197@MNXC3 + 1 MNXM162248@MNXC2 + 1 MNXM96530@MNXC2	R_r2307			model:Transport, extracellular	
R1074CEE	1 MNXM13@MNXC15 <==> 1 MNXM13@MNXC3	R_CO2tg	MNXR96810		model:Transport, endoplasmic reticular;model:Transport, extracellular;model:Transport, golgi apparatus;model:Transport, mitochondrial;model:Transport, nuclear;model:Transport, peroxisomal	bigg:CO2t;bigg:CO2ter;bigg:CO2tex;bigg:CO2tg;bigg:CO2th;bigg:CO2tm;bigg:CO2tn;bigg:CO2tp;bigg:CO2tpp;bigg:CO2tpp_1;bigg:CO2tv;bigg:R_CO2t;bigg:R_CO2ter;bigg:R_CO2tex;bigg:R_CO2tg;bigg:R_CO2th;bigg:R_CO2tm;bigg:R_CO2tn;bigg:R_CO2tp;bigg:R_CO2tpp;bigg:R_CO2tpp_1;bigg:R_CO2tv;deprecated:MNXR1225;metacyc:TRANS-RXN0-545;reactome:R-ATH-1237042;reactome:R-ATH-1247649;reactome:R-BTA-1237042;reactome:R-BTA-1237069;reactome:R-BTA-1247645;reactome:R-BTA-1247649;reactome:R-CEL-1237069;reactome:R-CEL-1247645;reactome:R-CFA-1237042;reactome:R-CFA-1237069;reactome:R-CFA-1247645;reactome:R-CFA-1247649;reactome:R-DDI-1237042;reactome:R-DDI-1237069;reactome:R-DDI-1247645;reactome:R-DDI-1247649;reactome:R-DME-1237042;reactome:R-DME-1237069;reactome:R-DME-1247645;reactome:R-DME-1247649;reactome:R-DRE-1237042;reactome:R-DRE-1237069;reactome:R-DRE-1247645;reactome:R-DRE-1247649;reactome:R-GGA-1237042;reactome:R-GGA-1237069;reactome:R-GGA-1247645;reactome:R-GGA-1247649;reactome:R-HSA-1237042;reactome:R-HSA-1237069;reactome:R-HSA-1247645;reactome:R-HSA-1247649;reactome:R-MMU-1237042;reactome:R-MMU-1237069;reactome:R-MMU-1247645;reactome:R-MMU-1247649;reactome:R-OSA-1237042;reactome:R-OSA-1247649;reactome:R-RNO-1237042;reactome:R-RNO-1237069;reactome:R-RNO-1247645;reactome:R-RNO-1247649;reactome:R-SCE-1237042;reactome:R-SCE-1247649;reactome:R-SSC-1237042;reactome:R-SSC-1237069;reactome:R-SSC-1247645;reactome:R-SSC-1247649;reactome:R-TGU-1237042;reactome:R-TGU-1237069;reactome:R-TGU-1247645;reactome:R-TGU-1247649;reactome:R-XTR-1237069;reactome:R-XTR-1247645;seed:rxn05467;seed:rxn08237;seed:rxn08238;seed:rxn09706;seed:rxn09775;seed:rxn09821;seed:rxn09860;seed:rxn09876
R107695C8	1 MNXM1@MNXC3 + 1 MNXM59@MNXC3 + 1 MNXM72@MNXC3 <-- 1 MNXM2@MNXC3 + 1 MNXM9170@MNXC3	R_LPS	MNXR138549		model:Triacylglycerol synthesis	bigg:LPS;bigg:LPSe;bigg:R_LPS;bigg:R_LPSe;deprecated:MNXR101202;deprecated:MNXR3327
R107875F7	1 MNXM1028@MNXC13 + 1 MNXM12@MNXC13 <==> 1 MNXM173@MNXC13 + 1 MNXM21@MNXC13	R_CSNATp	MNXR96926	2.3.1.7	metacyc:mitochondrial L-carnitine shuttle;model:Fatty acid oxidation	rhea:21136;rhea:21137;rhea:21138;rhea:21139;bigg:CSNATer;bigg:CSNATirm;bigg:CSNATm;bigg:CSNATp;bigg:CSNATr;bigg:R_CSNATer;bigg:R_CSNATirm;bigg:R_CSNATm;bigg:R_CSNATp;bigg:R_CSNATr;deprecated:MNXR1304;deprecated:MNXR33578;metacyc:CARNITINE-O-ACETYLTRANSFERASE-RXN;sabiork:10182
R108B0C02	1 MNXM140@MNXC2 + 1 MNXM142@MNXC3 <==> 1 MNXM140@MNXC3 + 1 MNXM142@MNXC2	R_r1645	MNXR105590		model:Transport, extracellular	bigg:R_r1645;bigg:r1645
R10924E16	1 MNXM66@MNXC3 <==> 1 MNXM66@MNXC4	R_GLYC3Ptmc	MNXR100308		model:Transport, mitochondrial;model:Transport, peroxisomal	rhea:34967;rhea:34968;rhea:34969;rhea:34970;bigg:GLY3Pt;bigg:GLYC3Ptex;bigg:GLYC3Pth;bigg:GLYC3Ptm;bigg:GLYC3Ptmc;bigg:R_GLY3Pt;bigg:R_GLYC3Ptex;bigg:R_GLYC3Pth;bigg:R_GLYC3Ptm;bigg:R_GLYC3Ptmc;deprecated:MNXR2752;seed:rxn08643;seed:rxn09749;seed:rxn11234
