identifier	mb_sample_id	pair	group
SAT_1	SA003137	1	subcutaneous_fat
SAT_10	SA003106	10	subcutaneous_fat
SAT_11	SA003119	11	subcutaneous_fat
SAT_12	SA003146	12	subcutaneous_fat
SAT_13	SA003122	13	subcutaneous_fat
SAT_14	SA003155	14	subcutaneous_fat
SAT_15	SA003109	15	subcutaneous_fat
SAT_16	SA003134	16	subcutaneous_fat
SAT_17	SA003140	17	subcutaneous_fat
SAT_18	SA003153	18	subcutaneous_fat
SAT_19	SA003158	19	subcutaneous_fat
SAT_2	SA003145	2	subcutaneous_fat
SAT_20	SA003133	20	subcutaneous_fat
SAT_21	SA003111	21	subcutaneous_fat
SAT_22	SA003125	22	subcutaneous_fat
SAT_23	SA003129	23	subcutaneous_fat
SAT_24	SA003138	24	subcutaneous_fat
SAT_25	SA003108	25	subcutaneous_fat
SAT_26	SA003150	26	subcutaneous_fat
SAT_27	SA003131	27	subcutaneous_fat
SAT_28	SA003107	28	subcutaneous_fat
SAT_29	SA003143	29	subcutaneous_fat
SAT_3	SA003126	3	subcutaneous_fat
SAT_30	SA003149	30	subcutaneous_fat
SAT_31	SA003120	31	subcutaneous_fat
SAT_32	SA003154	32	subcutaneous_fat
SAT_33	SA003148	33	subcutaneous_fat
SAT_34	SA003136	34	subcutaneous_fat
SAT_35	SA003116	35	subcutaneous_fat
SAT_36	SA003118	36	subcutaneous_fat
SAT_37	SA003128	37	subcutaneous_fat
SAT_38	SA003151	38	subcutaneous_fat
SAT_39	SA003161	39	subcutaneous_fat
SAT_4	SA003144	4	subcutaneous_fat
SAT_40	SA003130	40	subcutaneous_fat
SAT_41	SA003123	41	subcutaneous_fat
SAT_42	SA003163	42	subcutaneous_fat
SAT_43	SA003114	43	subcutaneous_fat
SAT_44	SA003112	44	subcutaneous_fat
SAT_45	SA003117	45	subcutaneous_fat
SAT_46	SA003141	46	subcutaneous_fat
SAT_47	SA003156	47	subcutaneous_fat
SAT_48	SA003113	48	subcutaneous_fat
SAT_49	SA003127	49	subcutaneous_fat
SAT_5	SA003159	5	subcutaneous_fat
SAT_50	SA003157	50	subcutaneous_fat
SAT_51	SA003110	51	subcutaneous_fat
SAT_52	SA003121	52	subcutaneous_fat
SAT_53	SA003132	53	subcutaneous_fat
SAT_54	SA003124	54	subcutaneous_fat
SAT_55	SA003139	55	subcutaneous_fat
SAT_56	SA003147	56	subcutaneous_fat
SAT_57	SA003160	57	subcutaneous_fat
SAT_58	SA003135	58	subcutaneous_fat
SAT_59	SA003164	59	subcutaneous_fat
SAT_6	SA003142	6	subcutaneous_fat
SAT_7	SA003162	7	subcutaneous_fat
SAT_8	SA003115	8	subcutaneous_fat
SAT_9	SA003152	9	subcutaneous_fat
VAT__1	SA003215	1	visceral_fat
VAT__10	SA003170	10	visceral_fat
VAT__11	SA003197	11	visceral_fat
VAT__12	SA003199	12	visceral_fat
VAT__13	SA003193	13	visceral_fat
VAT__14	SA003221	14	visceral_fat
VAT__15	SA003171	15	visceral_fat
VAT__16	SA003180	16	visceral_fat
VAT__17	SA003172	17	visceral_fat
VAT__18	SA003210	18	visceral_fat
VAT__19	SA003178	19	visceral_fat
VAT__2	SA003208	2	visceral_fat
VAT__20	SA003223	20	visceral_fat
VAT__21	SA003216	21	visceral_fat
VAT__22	SA003214	22	visceral_fat
VAT__23	SA003183	23	visceral_fat
VAT__24	SA003181	24	visceral_fat
VAT__25	SA003219	25	visceral_fat
VAT__26	SA003217	26	visceral_fat
VAT__27	SA003211	27	visceral_fat
VAT__28	SA003209	28	visceral_fat
VAT__29	SA003202	29	visceral_fat
VAT__3	SA003184	3	visceral_fat
VAT__30	SA003203	30	visceral_fat
VAT__31	SA003186	31	visceral_fat
VAT__32	SA003204	32	visceral_fat
VAT__33	SA003222	33	visceral_fat
VAT__34	SA003168	34	visceral_fat
VAT__35	SA003165	35	visceral_fat
VAT__36	SA003187	36	visceral_fat
VAT__37	SA003189	37	visceral_fat
VAT__38	SA003213	38	visceral_fat
VAT__39	SA003175	39	visceral_fat
VAT__4	SA003176	4	visceral_fat
VAT__40	SA003188	40	visceral_fat
VAT__41	SA003179	41	visceral_fat
VAT__42	SA003169	42	visceral_fat
VAT__43	SA003200	43	visceral_fat
VAT__44	SA003194	44	visceral_fat
VAT__45	SA003201	45	visceral_fat
VAT__46	SA003190	46	visceral_fat
VAT__47	SA003185	47	visceral_fat
VAT__48	SA003177	48	visceral_fat
VAT__49	SA003167	49	visceral_fat
VAT__5	SA003191	5	visceral_fat
VAT__50	SA003173	50	visceral_fat
VAT__51	SA003198	51	visceral_fat
VAT__52	SA003174	52	visceral_fat
VAT__53	SA003207	53	visceral_fat
VAT__54	SA003196	54	visceral_fat
VAT__55	SA003212	55	visceral_fat
VAT__56	SA003192	56	visceral_fat
VAT__57	SA003220	57	visceral_fat
VAT__58	SA003195	58	visceral_fat
VAT__59	SA003218	59	visceral_fat
VAT__6	SA003182	6	visceral_fat
VAT__7	SA003206	7	visceral_fat
VAT__8	SA003166	8	visceral_fat
VAT__9	SA003205	9	visceral_fat
