measurement	signal
SAT_27	140320dlvsa11_1
VAT__16	140320dlvsa02_1
SAT_10	140318dlvsa42_3
SAT_30	140318dlvsa44_1
SAT_17	140319dlvsa39_1
SAT_29	140319dlvsa42_3
VAT__24	140320dlvsa22_3
SAT_13	140320dlvsa24_3
SAT_54	140318dlvsa48_3
SAT_8	140318dlvsa45_4
SAT_5	140318dlvsa33_3
VAT__57	140320dlvsa37_1
SAT_19	140319dlvsa25_1
SAT_28	140318dlvsa47_1
SAT_3	140319dlvsa46_1
SAT_50	140320dlvsa40_1
VAT__8	140319dlvsa12_4
SAT_40	140318dlvsa40_1
SAT_47	140318dlvsa14_1
SAT_7	140319dlvsa35_1
SAT_6	140320dlvsa08_1
SAT_24	140319dlvsa44_3
VAT__6	140318dlvsa28_1
SAT_26	140319dlvsa38_1
VAT__17	140320dlvsa15_1
SAT_22	140320dlvsa05_1
VAT__26	140320dlvsa34_1
SAT_43	140319dlvsa07_1
VAT__20	140318dlvsa43_3
VAT__33	140318dlvsa35_3
VAT__58	140320dlvsa16_1
VAT__5	140319dlvsa45_3
SAT_12	140319dlvsa14_1
SAT_42	140319dlvsa15_1
VAT__13	140319dlvsa20_3
VAT__30	140318dlvsa30_1
VAT__45	140318dlvsa24_1
SAT_36	140320dlvsa35_1
VAT__31	140320dlvsa17_1
SAT_23	140318dlvsa38_1
SAT_1	140319dlvsa18_1
SAT_33	140319dlvsa04_3
VAT__46	140318dlvsa27_1
SAT_4	140318dlvsa18_1
SAT_39	140319dlvsa30_1
SAT_45	140319dlvsa32_1
SAT_55	140320dlvsa38_1
VAT__47	140320dlvsa09_1
SAT_18	140320dlvsa27_1
SAT_25	140320dlvsa36_1
VAT__27	140318dlvsa15_1
VAT__54	140319dlvsa10_3
VAT__12	140318dlvsa23_1
SAT_52	140320dlvsa03_1
SAT_35	140318dlvsa49_1
VAT__19	140318dlvsa36_1
SAT_34	140320dlvsa07_1
SAT_31	140320dlvsa04_1
VAT__11	140320dlvsa21_1
SAT_58	140319dlvsa28_1
SAT_14	140320dlvsa32_3
VAT__4	140319dlvsa16_1
SAT_21	140319dlvsa40_1
VAT__10	140319dlvsa06_3
SAT_51	140320dlvsa25_1
VAT__37	140320dlvsa01_1
VAT__23	140319dlvsa47_1
SAT_38	140320dlvsa26_1
SAT_46	140320dlvsa42_1
VAT__56	140318dlvsa39_3
VAT__21	140320dlvsa19_1
SAT_15	140319dlvsa17_1
SAT_9	140319dlvsa23_1
VAT__3	140320dlvsa18_2
VAT__35	140319dlvsa09_1
SAT_56	140320dlvsa13_3
SAT_20	140318dlvsa50_3
VAT__52	140319dlvsa02_1
VAT__29	140320dlvsa10_3
VAT__1	140319dlvsa03_1
SAT_2	140320dlvsa31_1
VAT__53	140320dlvsa28_1
SAT_49	140318dlvsa32_2
VAT__40	140318dlvsa20_2
VAT__32	140318dlvsa21_1
SAT_59	140319dlvsa24_3
VAT__42	140319dlvsa31_1
VAT__44	140319dlvsa05_1
VAT__25	140319dlvsa19_1
VAT__2	140320dlvsa41_1
SAT_48	140318dlvsa46_1
VAT__18	140319dlvsa13_1
SAT_16	140319dlvsa27_1
SAT_11	140318dlvsa34_1
SAT_41	140319dlvsa21_1
SAT_32	140318dlvsa16_1
VAT__7	140319dlvsa08_1
SAT_53	140319dlvsa48_1
VAT__49	140318dlvsa41_2
SAT_57	140318dlvsa22_1
VAT__36	140318dlvsa13_1
VAT__9	140320dlvsa29_1
VAT__59	140319dlvsa11_3
VAT__41	140320dlvsa20_1
VAT__55	140320dlvsa06_1
VAT__48	140319dlvsa34_1
