identifier	name	reference_metabolomics_workbench	reference_pubchem	reference_kegg
16:0 LYSO PC (M+HCOO)-	LPC(16:0)	ME223296	460602	-
18:0 LYSO-PE (M-H)-	LPE(18:0)	ME223266	9547068	-
2,4-DIHYDROXYPTERIDINE (M-H)-	Lumazine	ME223358	10250	-
2-DEOXY-D-GLUCOSE (M+Cl)-	2-deoxy-glucose	ME223332	439268	-
2-HYDROXY-3-METHYLBUTYRIC ACID (M-H)-	2-Hydroxy-3-methylbutyric acid	ME223262	853180	-
2-OXOADIPIC ACID (M-H)-	Oxoadipic acid	ME223344	71	-
3-(4-HYDROXYPHENYL)LACTIC ACID (M-H)-	Hydroxyphenyllactic acid	ME223338	440177	-
3-DEHYDROSHIKIMIC ACID (M-H)-	3-dehydroshikimate	ME223350	439774	-
3-HYDROXY-3-METHYLGLUTARIC ACID (M-H)-	3-Hydroxymethylglutaric acid	ME223336	1662	-
3-METHYLXANTHINE (M-H)-	3-Methylxanthine	ME223341	70639	-
4-HYDROXYBENZOIC ACID (M-H)-	4-Hydroxybenzoic acid	ME223285	135	-
4-NITROPHENOL (M-H)-	4-Nitrophenol	ME223303	980	-
4-PYRIDOXIC ACID (M-H)-	4-Pyridoxic acid	ME223283	6723	-
5'-METHYLTHIOADENOSINE (M+Cl)-	5'-Methylthioadenosine	ME223345	439176	-
5-OXOPROLINE (M-H)-	Pyroglutamic acid	ME223287	7405	-
ADIPIC ACID (M-H)-	Adipic acid	ME223273	196	-
ALPHA-HYDROXYISOBUTYRIC ACID (M-H)-	2-hydroxyisobutyric acid	ME223325	11671	-
ALPHA-KETO-GLUTARIC ACID (M-H)-	Oxoglutaric acid	ME223343	51	-
ALPHA-LINOLENIC ACID (M+HCOO)-	Alpha-linolenic acid	ME223301	5280934	-
ARACHIDIC ACID (M-H)-	Arachidic acid	ME223291	10467	-
ARACHIDONIC ACID (M-H)-	Arachidonic acid	ME223259	444899	-
AZELAIC ACID (M-H)-	Azelaic acid	ME223302	2266	-
BEHENIC ACID (M-H)-	Behenic acid	ME223330	8215	-
BENZOIC ACID (M-H)-	Benzoic acid	ME223272	243	-
BILIVERDIN (M-H)-	Biliverdin	ME223276	5280353	-
CARNOSINE (M-H)-	Carnosine	ME223342	439224	-
CHOLIC ACID (M-H)-	Cholic acid	ME223331	221493	-
CIS-11-EICOSENOIC ACID (M-H)-	Cis-gondoic acid	ME223265	5282768	-
CIS-7,10,13,16-DOCOSATETRAENOIC ACID (M+HCOO)-	Adrenic Acid	ME223356	5497181	-
CITRAMALIC ACID (M-H)-	Citramalic acid	ME223269	441696	-
CITRIC ACID (M-H)-	Citric acid	ME223288	311	-
CORTICOSTERONE (M+Cl)-	Corticosterone	ME223304	5753	-
CORTISOL (M+Cl)-	Cortisol	ME223328	5754	-
CORTISOL (M+HCOO)-	Cortisol	ME223329	5754	-
CORTISONE (M+Cl)-	Cortisone	ME223279	222786	-
CREATINE (M-H)-	Creatine	ME223354	586	-
DEHYDROASCORBIC ACID (M-H)-	Dehydroascorbic acid	ME223286	440667	-
DEOXYURIDINE (M+Cl)-	Deoxyuridine	ME223346	13712	-
DOCOSAHEXAENOIC ACID (M-H)-	DHA	ME223295	445580	-
EPIBRASSINOLIDE [ISTD] (M+HCOO)-	24-epi-brassinolide	ME223310	3239	-
ERUCIC ACID (M-H)-	Cis-erucic acid	ME223268	5281116	-
FUMARIC ACID (2M-H)-	Fumaric acid	ME223348	444972	-
FUMARIC ACID (M-H)-	Fumaric acid	ME223353	444972	-
GLUCONIC ACID (M-H)-	Gluconic acid	ME223340	10690	-
GLUCOSE (M+Cl)-	Glucose	ME223317	5793	-
GLUTATHIONE (OXIDIZED) (M-H)-	Glutathione	ME223347	65359	-
GLYCERIC ACID (M-H)-	Glyceric acid	ME223299	439194	-
HEPTADECANOIC ACID (M-H)-	Margaric acid	ME223277	10465	-
HIPPURIC ACID (M-H)-	Hippuric acid	ME223274	464	-
HYODEOXYCHOLIC ACID (M-H)-	Hyodeoxycholic acid	ME223282	5283820	-
