Samples	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
Factors	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5
16:0 LYSO PC (M+H)+	365475	71930	170427	142006	201512	234543	419173	265009	192988	383078	103317	188036	130014	135308	340158	228470	360949	465052	149687	243113	115875	276045	195965	97763	587164	142019	173084		288481	398187	4916283	2714395	5782490	6497611	2612262	3205206	4527801	4577627	3696261	3176410	3087109	3228202	4076558	3280775	2408396	3750892	5842452	3735615	3774198	4039214	3080103	4298494	3425751	3253319	2798868	4427921	5468834	3823216	3652187	3009013
16:0 LYSO PC (M+Na)+	153492	302101	149332	1962043	641281	223078	191559	309928	133986	177962	846546	143682	678130	131256	163212	172535	182677	330884	145960	117322	94559	210754	628489	121943	268106	105853	229766	1271504	115560	207261	1085732	1077451	1300451	1062165	867036	970440	1306577	1149207	1310491	1054055	1029649	1017921	1144009	1001459	877155	1185592	1016251	1246102	1170539	1145094	1173943	1307672	1063054	1119667	1095081	1310436	1328711	1215773	1277144	996165
18:0 LYSO-PE (M+H)+	215520	129413	200698	202504	245611	342990	258203	213321	176179	226473	123477	377692	246926	303690	185463	407881	265062	455515	259515	155698	174566	140778	183926	236764	449361	273160	238489	899446	257088	436363																														
18:0 LYSO-PE (M+Na)+	33391		64171	65319	76339	120574	43059	65135	37320	41727	51186	142187	92794	118402	39287	131605	66018	158896	88288	40158	60672	55655	67467	105326	111531	95255	88546		40407	125702																														
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID (M+H)+																																67817	29408	17070		17277	22429	23424			21951	20134	22534		15360	52999	32588	2997		16096		43390	14080	11842	50038	39998	49651	16245		
1-METHYLADENOSINE (M+H)+																															135522	123399	97652	194721	85976	63465	135601	86907	92922	122156	115134	97946	81580	148486	84375	74228	105058	66771	93354	122905	119511	105305	94978	169293	83663	71604	104451	82884	100218	86868
3^_5^-CYCLIC AMP (M+H)+	8653	7586	10488	18806	9519	29633	37595	32290	9496	20357	14097	18913	20216	19088	9689	28380	24659	45547	28870	20346	9587	7108	18149	14207	11460	21539	9567	27155	7344	27243																														
3-DEHYDROXYCARNITINE (M+H)+	955685	831704	752182	708519	672529	899779	970857	564189	848574	1031264	1086582	858149	725844	648949	531653	738814	723425	565554	753185	1159279	1084889	774272	742982	658831	567173	694990	698149	623064	660793	1089687																														
3-HYDROXYLAUROYLCARNITINE (*) (M+H)+	87707	14348	41405	59824	29713	38628	84153	64505	112390	210095	48699	158891	39917	159600	42391	218971	94719	117543	92836	112562	47615	40282	78082	78905	73330	69219	79032		98667	160161																														
