analyte	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
ARACHIDONIC ACID (M-H)-	2725087	1624891	1832813	231213	121886	277292	1276098	979968	494891	158092	255566	220400	1018952	2290831	1893261	173400	209933	214816	364186	1257751	571321	158215	165517	105377	783589	532531	779996	164812	114518	155846	1095877	1975447	2290783	222352	192148	131328	1942708	3237494	2740578	71451	174766	62574	1409062	830622	1323311	202670	202661	84617	780634	944845	785460	231773	96454	97870	386350	759411	761122	238426	241823	263071
SUBERIC ACID (M-H)-				11820	9398	18586				6782	17886	9046				9183	8716	11941				10961	13433	10048				12857	12691	13196				8582	4780	6771					14868	1551				5033	8774	9439				7834	11035	19483				8812	15730	8010
PHYTANIC ACID (M-H)-	231752	175139	187747	4003	2209	2544	280915	73692	28023	4411	2502	1634	47563	311350	326848	2497	1988	2135	9766	196656	123434	2588	2059	1507	86372	70365	69206		2261	1980	119326	220083	207160	2472	1722	1573	130383	397018	204643		1897	1011	230927	79589	103387	1705	2179	2093	103824	136282	131706	2198	1894	2199	23000	113684	81587	2606	3462	2907
2-HYDROXY-3-METHYLBUTYRIC ACID (M-H)-	825521	1432654	1010364	55086	34873	31564	580050	903719	694031	9283	28255	16407	655111	625775	375217	18060	12933	14646	642576	640969	641633	23020	24026	23965	936310	1151809	1085672	28712	27713	61413	548567	623555	642726	37486	39400	15014	929040	731121	887624	9093	39239	6859	645539	451021	601532	22059	24687		897186	731019	830927	31473	26608	39345	908383	573743	885669	62778	42039	40405
THEOPHYLLINE (M-H)-	33053	44695	39142	7577	8462	6770	51916	27546		1905	8318			4977	10063					11608					32620	34393	30955	6930	2658	15859	8112	5214	9834										54728	29041	65855	15611	9154	8347			8859				17252	23156		6362		
PANTOTHENIC ACID (M+Cl)-				117407	14321	18690				3528	17162	6621					9140	8517				13614	20726	10526				18250	12422	47977				14284	35981	10618				3337	40640	2343				38355	142676	34554				464546	17177	13827				33388	29624	46721
CIS-11-EICOSENOIC ACID (M-H)-	1216259	1537272	677953	31507	6516	16195	871777	333648	70780	29329	23724	15349	244040	2324946	1717774	17678	20594	19589	27825	1401221	408083	10435	10142	7802	569262	485062	582134	9868	10396	12256	348266	1066548	705793	16579	7512	4825	402674	1495820	551266	3320	8688	2589	1130952	507490	729678	8231	5982	4630	338179	567388	410478	12642	7625	7779	145253	917617	650087	23518	37180	35156
18:0 LYSO-PE (M-H)-	1081084	388724	279672	123702	70711	78115	527451	119792	85759	58778	152283	86712	159137	1113762	1655754	95557	112387	71496	64474	716323	189919	165669	145186	103663	247439	127580	181366	130178	141844	185330	159111	290810	435114	109511	156082	109232	364022	702945	473925	60874	145590	31952	537854	202968	370102	83109	151213	77676	174897	227341	283551	100280	107122	156860	85596	515739	258437	134313	126032	102841
PHENYLALANINE (M-H)-	220640	182007	143618	31587	13476	20338	218840	179370	236779	7783	21446	17071	156763	216359	226198	14628	11494	14369	189662	200081	181995	24649	25593	23550	138975	129444	120479	18397	13376	24822	116326	171571	195680	17912	26240	12964	162282	104469	136412	6074	22511	5016	180491	155145	180912	23372	25542	13213	161494	163834	138820	21028	17867	22249	166494	214638	185264	40204	27923	43912
ERUCIC ACID (M-H)-	30604	34047	21851	16218	7756	11896	21782	20676	11869	15205	16010	9581	16631	28762	30504	9567	10875	10916	6941	29775	20356	7844	7813	6476	21832	20959	28874	7875	7215	8603	17410	18337	15057	12338	8273	8824	18118	29585	18542	2533	8599		20633	18500	25152	7276	8821	6377	18066	20469	21319	10259	10968	7549	16315	25325	29522	10014	13136	11933
