metabolite_name	S00020367	S00020368	S00020369	S00020370	S00020371	S00020372	S00020373	S00020374	S00020375	S00020376	S00020377	S00020378	S00020379	S00020380	S00020381	S00020382	S00020383	S00020384	S00020385	S00020386	S00020387	S00020388	S00020389	S00020390	S00020391	S00020392	S00020393	S00020394	S00020395	S00020396	S00020397	S00020398	S00020399	S00020400	S00020401	S00020402	S00020403	S00020404	S00020405	S00020406	S00020407	S00020408	S00020409	S00020410	S00020411	S00020412	S00020413	S00020414	S00020415	S00020416	S00020417	S00020418	S00020419	S00020420	S00020421	S00020422	S00020423	S00020424	S00020425	S00020426
ISO-BUTYRYLCARNITINE (*) (M+H)+	324181	277211	281040	2214872	1100397	825906	394835	359403	685454	758593	4053654	1325287	382328	202261	282812	701728	618262	1440079	221852	342844	484322	1231635	1898388	879555	351925	348816	218277	468234	727389	1575981	501778	431122	462925	374152	3152573	669762	712851	445459	566286	1950167	784408	1339305	576988	444332	303119	1490410	1312840		131335	472188	692655	512779	1402336	1850064	348118	631964	519992	2636990	1313504	1630837
DESMOSTEROL (M+H)+[-H2O]	17438	14397	25631		3152	4058	22549	12588	16645	2806	4178	8157	7134	14801	12716			1659	13534	15007	17576		1987	5091	10765	7988	16471		3340	5315	7718	19461	19287	6648	4349		29774	24559	30220	2308	6153	9275	16286	20088	19131				26845	23865	23894			3189	30175	29333	19584			8224
VALINE (M+H)+	5143751	4911240	5439150	3193412	2146028	2363117	5115045	4506178	5146000	1065256	2039500	1892579	4637977	4501807	4275888	1799943	1780798	1866818	4606517	4368672	4705776	2097566	2038888	1955051	4317791	4316652	4284972	1993921	1833830	2637698	4754956	6617360	5181359	2486361	2533853	1795716	4678474	5328282	4697998	3133005	2366152	2359598	4608149	4387357	4559505	1891943	2010376	1664237	5174062	5364487	5345922	2333526	2187104	2394233	5328870	7114069	5133728	4078283	3817369	5192694
CORTISOL (M+H)+	205364	100583	159333				286246	177341	284884				250884	198896	203913				292672	138097	138516				518680	520715	308927				137288	278345	235444				263739	246009	357523				383492	359191	435290				279265	253323	138270				236053	329724	193989			
LEUCINE (M+H)+	70504296	63673296	73960832	29291524	18905788	20549616	75641112	58572668	27439310	9418135	16774914	15893527	62129308	62435648	25805464	5714255	13855525	14646472	66635260	60885744	65155760	16668682	17637488	17127828	62398000	61358320	61081308	17081794	14934086	21720436	61427424	73093296	72610064	19377816	21833532	15016695	74325536	66971736	70821024	26706780	19103736	19759332	71523824	64202728	67369440	19082340	18944366	14197315	81038272	78360720	78420528	22468548	20228960	21065596	73072208	88815200	71767632	32974384	29335500	40901328
INOSINE 5'-PHOSPHATE (M+H)+				6839313	5960027	5128104				4202014	5739523	2875400				4849549	6887411	5270297				3872543	4350648	3420138				6466594	4564891	4673370				5133947	3534487	3538375				7534005	5935065	7091665				6334725	4552842	2282737				5462849	3614103	3014874				6577932	7932552	7337486
ISOVALERYLCARNITINE (*) (M+H)+	328372	295446	309428	281457	468290	324821	649439	332202	493533	26370	91026	83594	229706	173494	218683	58114	44252	30254	292169	387566	502828	85797	55909	47980	452162	368852	395804	120587	65712	91153	559430	457638	389335	231106	141553	56041	888669	482539	517171	163936	408158	190092	421476	284312	311394	1223960	192675	221589	1092264	900234	639703	2475834	1837845	832010	521370	716148	507734	167895	91975	294752
CARNOSINE (M+Na)+				90523	119098	123650				86090	65722	87650				81952	96212					78530	68478	65710				108643	120894	106883				44459		76853				98111	83247	143272				51382	58962	57104				94701	93964	69603				109896	104231	97883
OCTENOYLCARNITINE (*) M+	56752	28968	59921	464496	331999	203933	270934	110168	62426	53315	193184	105857	133293	79643	80694	130235	304335	135512	47428	59567	95157	118496	110169	92267	88838	103949	117835	105662	111105	226361	68716	67681	58677	94625	93512	42770	163054	73832	116970	208384	114854	96292	360829	121621	214676	190560	211838	84843	187804	220179	118594	154648	178431	152307	49903	85157	84165	209646	152644	192534
DEHYDROEPIANDROSTERONE SULFATE M+[-HSO4]	250374	195460	248759				90858	77544					240179	154543	167759				138664	117689	133664				210460	200351	249085				211003	248508	268057				489498	384242	441854				276945	247173	291645				242952		219441				233079	245866				
THYROXINE (M+H)+	56990	56853	64936				68259	59886	68647				119857	69564	71527				75750	61455	84816				94258	95470	102852				56882	71229	69157				77470	66105	76806				86694	59086	67101				75626	65371	72820				76387	84582	62695			
METHYL BETA-D-GALACTOSIDE (M+Na)+							4174	7943					21301	8049	9044				8324		13981				10762	27495	17470				4291	4513	4487					7238	4851				11885	17034	14410				31940	7661	8706					7714	8991			
INOSINE 5'-PHOSPHATE (M+Na)+				142320	98591	104184				89513	111986	64333				57664	114616	68988				85773	93239	73385				107324	91587	92961				63604	89284	76874				122356	100727	148476				87086	101432	43071				115668	76452	63056				136214	132172	88881
GLUCOSE (M+Na)+	375445	716325	385838				685709	833418	293294				355955	463307	358845				338795	337523	474248				386410	940294	1072296				283483	343725	467440				312312	558442	445267				438820	348745	524857				442157	480044	337900				498767	571580	780724			
OCTANOYLCARNITINE (*) (M+H)+	65832	128539	129280				159501	287628	201724				183147	187970	92305				35127	110451	164742				337847	319682	330479				114183	155532	205943				306382	164462	277525				250198	330756	428732				336885	323023	262121				167824	185542	185127			
URIDINE (M+Na)+							1376							11414	9876				8827	6600	17361				14619	14165					3580	18312	29156					12806					28370		29611					16354						33009	15376			
CITRIC ACID (M+Na)+	205057	171797	190693				162484	216704	148100				186018	217289	215139				186618	218546	181839				233186	264827	218960				176028	224698	205600				276194	176035	223011				214584		214993				182703	174520	142494				153883	175529	120066			
URIC ACID (M+H)+	1334283	895426	1470095				1387010	1328754	1932538				1114816	994532	933590				1266853	1145987	1331012				1510439	1441977	2048389				953838	978315	1059979				1873545	1516382	1741052				1049965	986415	1052581				1644672	1487527	1549590				1755346	1901210	1589805			
1-METHYLADENOSINE (M+H)+	135522	115134	119511				123399	97946	105305				97652	81580	94978				194721	148486	169293				85976	84375	83663				63465	74228	71604				135601	105058	104451				86907	66771	82884				92922	93354	100218				122156	122905	86868			
CHOLESTEROL (M+H)+[-H2O]	91818	144959	243870	528305	431173	433879	414825	112591	207286	434942	335516	679699	49733	82599	101578	522224	385215	460855	58109	106639	200567	435869	418771	478324	59015	63943	75753	448733	578289	224939	79076	132557	181775	327966	306227	372683	148195	60919	170074	503066	351275	466122	115936	137329	158914	355532	279254	398534	192907	141401	213611	608020	403622	786589	237058	166702	134313	538592	573594	333676
16:0 LYSO PC (M+H)+	4916283	3087109	3080103	365475	103317	115875	2714395	3228202	4298494	71930	188036	276045	5782490	4076558	3425751	170427	130014	195965	6497611	3280775	3253319	142006	135308	97763	2612262	2408396	2798868	201512	340158	587164	3205206	3750892	4427921	234543	228470	142019	4527801	5842452	5468834	419173	360949	173084	4577627	3735615	3823216	265009	465052		3696261	3774198	3652187	192988	149687	288481	3176410	4039214	3009013	383078	243113	398187
AZELAIC ACID (M+Na)+				300902	118577	163844				83591	232017	112417				101436	121173	116694				125627	149717	108927				134297	125390	153778				104154	71527	75778				81167	171639	84312				60871	114010					94811	111330	262641				127611	154339	68778
