analyte	SAT_1	SAT_10	SAT_11	SAT_12	SAT_13	SAT_14	SAT_15	SAT_16	SAT_17	SAT_18	SAT_19	SAT_2	SAT_20	SAT_21	SAT_22	SAT_23	SAT_24	SAT_25	SAT_26	SAT_27	SAT_28	SAT_29	SAT_3	SAT_30	SAT_31	SAT_32	SAT_33	SAT_34	SAT_35	SAT_36	SAT_38	SAT_39	SAT_4	SAT_40	SAT_41	SAT_42	SAT_43	SAT_45	SAT_46	SAT_47	SAT_48	SAT_49	SAT_5	SAT_50	SAT_51	SAT_52	SAT_53	SAT_54	SAT_55	SAT_56	SAT_57	SAT_58	SAT_59	SAT_6	SAT_7	SAT_8	SAT_9	VAT__1	VAT__10	VAT__11	VAT__12	VAT__13	VAT__16	VAT__17	VAT__18	VAT__19	VAT__2	VAT__20	VAT__21	VAT__23	VAT__24	VAT__25	VAT__26	VAT__27	VAT__29	VAT__3	VAT__30	VAT__31	VAT__32	VAT__33	VAT__35	VAT__36	VAT__37	VAT__4	VAT__40	VAT__41	VAT__42	VAT__44	VAT__45	VAT__46	VAT__47	VAT__48	VAT__49	VAT__5	VAT__52	VAT__53	VAT__54	VAT__55	VAT__56	VAT__57	VAT__58	VAT__59	VAT__6	VAT__7	VAT__8	VAT__9
1,5-anhydroglucitol	1046.0377	275.8413	361.2619	847.8261	606.0798	143.3002	2516.2252	2481.8702	554.9793	581.7175	927.8351	1157.7718	1139.339	2607.1182	436.8836	581.1007	1164.5729	1011.0793	715.7816	254.7368	477.3157	195.2965	804.0915	596.8275	1067.6533	6043.4322	930.0218	709.4595	1445.5229	618.8811	1117.7686	2941.6499	405.9829	1248.3745	2079.9331	1676.7857	441.9002	701.1417	1454.9521	1032.2802	5550	2740	345.0106	1077.3234	816.7354	999.3943	1508.4906	1079.588	718.9409	5132.8125	1453.1583	2446.8153	2028.581	600	653.0398	687.2385	2176.8531	1512.7029	775.1678	431.2736	911.1181	703.6082	443.2121	750	2624.5376	544.757	1466.8737	571.1382	860.8522	932.1862	177.7251	1442.3473	720.4013	403.1188	513.1332	1171.5657	915.9613	1028.3976	2521.7803	691.2533	641.527	2149.9033	1188.6792	781.4189	2934.2466	4409.9437	950.5044	1068.8742	513.0682	7905.765	914.7059	4405.3056	5143.8746	610.6337	522.9759	2064.3863	843.3269	1351.1217	1658.0769	473.2566	437.963	947.4213	456.2384	2478.772	981.9936	4131.9018
1-monoolein	390.566	3378.6058	252.3745	213.9946	160.5446	163.7717	421.1921	485.687	151.4523	152.7008	245.3608	256.1708	211.9248	211.472	133.1361	225.9232	3840.4523	281.9871	197.457	272.6316	139.8866	152.3517	158.1137	121.9432	200.8457	1192.7966	202.3205	4327.7027	524.1077	302.0979	957.6446	447.6861	166.6667	401.8205	563.8796	217.5	184.5523	254.869	4413.738	459.478	1374	1121.4286	227.1762	95.9108	228.0495	171.7141	1228.3019	296.8165	207.7393	650.3906	297.0192	274.2038	178.5474	170.7071	336.478	5028.2427	269.1808	905.0812	2228.8591	657.314	546.4824	230.9923	266.1934	216.4751	1464.8582	365.4092	770.1863	962.3984	244.6738	1082.996	234.5972	554.9073	716.388	327.4718	479.3621	243.8512	1402.0556	1169.8783	474.4318	314.295	1144.3203	2390.7157	752.5729	469.2568	713.0137	2532.833	974.1488	863.245	342.6136	4118.6253	1467.6471	2615.178	4414.5299	240.0644	365.4267	725.3521	374.2747	1708.0218	593.0769	629.6547	372.2222	298.3925	268.1564	1027.7596	332.7974	1766.8712
1-monopalmitin	337.3585	201.0216	282.9037	106.9973	188.0937	328.4739	307.947	304.3893	145.2282	123.615	319.5876	241.1608	107.9067	246.7173	197.2387	87.9797	124.3719	168.3345	360.1346	285.2632	286.3894	244.3763	364.0777	280.5684	206.1311	493.6441	107.6867	153.8698	494.9906	368.1818	223.1405	150.9054	511.7521	439.857	302.0067	108.2143	305.5366	445.2653	129.393	376.0302	121	164.2857	331.2102	61.3383	339.4225	307.9952	172.6415	195.6929	114.053	358.3984	475.8694	118.4713	372.226	161.6162	163.522	179.9163	133.6151	99.506	428.8591	214.691	343.907	223.2603	415.2618	239.4636	18.4957	270.4604	159.4203	211.3821	222.7031	210.5263	168.2464	323.267	394.3144	171.2011	153.8462	89.0822	146.9166	352.9412	327.6515	111.6188	340.7821	406.1896	259.8628	89.1892	184.9315	92.8705	71.8789	165.894	289.7727	298.2262	248.0392	401.9476	732.1937	165.9506	369.8031	130.7847	310.4449	531.2712	236.5385	251.8619	122.2222	399.866	260.7076	308.6218	450.4823	107.362
1-monostearin	313.5849	128.0048	91.5875	386.2092	154.8448	257.7543	407.2848	181.2977	219.917	256.5789	249.4845	277.1848	290.6675	437.4568	281.0651	256.336	205.402	270.193	611.4435	289.4737	157.845	215.7464	203.8835	286.5169	176.5328	739.4068	88.1073	424.7543	314.6525	295.8042	453.5124	265.5936	521.3675	372.5618	226.7559	133.9286	235.8168	299.1941	330.6709	952.9533	214	312.8571	160.2972	217.4721	279.3164	187.1593	341.5094	121.7228	429.7352	330.0781	341.7317	375.4777	301.614	281.8182	406.7086	941.4226	271.1313	500.7057	281.8792	317.7806	490.892	1287.3711	2836.291	344.8276	479.0382	423.913	276.3975	605.6911	474.3675	353.2389	477.4882	240.906	370.2341	315.5275	161.3508	449.91	264.8126	1093.8134	1960.2273	400.4569	363.1285	322.0503	307.4614	573.6486	738.6986	422.1388	209.9622	346.6887	981.8182	863.6364	846.0784	327.4009	1521.3675	1305.0483	305.2516	892.3541	313.3462	410.9449	611.5385	695.6669	482.4074	1087.073	1513.0354	134.226	1642.7653	107.362
2,3-dihydroxypyridine	112.0755	81.1298	102.7815	120.2446	123.4959	94.9132	23.8411	105.916	120.332	95.5679	94.8454	53.0354	24.3033	104.6994	105.5227	34.7574	93.2789	144.7462	155.9461	133.6842	75.6144	168.7117	179.9584	85.2611	112.0507	139.8305	83.7563	110.5651	74.2016	58.7413	106.405	78.4708	95.0855	22.4317	110.3679	112.5	107.6555	132.9752	31.6294	92.7198	49	40	108.2803	123.7918	82.2039	70.8661	78.3019	90.824	116.0896	99.6094	99.0064	14.3312	42.3672	155.5556	66.0377	88.9121	80.9493	104.7989	106.7114	99.3064	108.3543	144.0077	162.378	67.0498	86.0049	93.9898	95.2381	104.6748	108.8549	102.2267	123.2227	60.7412	85.2843	71.6656	81.6135	138.5723	128.7787	141.4807	35.0379	68.5379	95.9032	107.3501	155.6604	101.3514	121.2329	125.2345	129.5712	151.9868	177.2727	178.4922	100	99.7314	68.3761	227.1751	123.6324	101.6097	150.8704	112.1686	193.8462	117.8064	68.5185	123.5767	96.8343	30.3723	111.8971	129.8569
2,5-dihydroxypyrazine NIST	285.283	134.3149	281.886	307.7446	427.4858	428.9702	1964.9007	624.0458	254.1494	125.6925	419.5876	885.5904	1092.6766	1102.9717	882.643	273.7147	349.5603	625.0893	232.2363	233.6842	312.8544	170.7566	404.6463	106.0806	1405.9197	1204.4492	919.1443	409.0909	1056.6688	336.7133	725.2066	189.1348	728.6325	783.1599	1216.0535	605.3571	711.5516	495.6347	2471.885	1826.5797	1155	685.7143	165.6051	442.7509	616.0872	941.2477	1700.9434	459.7378	1680.2444	642.5781	1858.7651	1135.9873	870.5447	119.1919	179.2453	161.0879	1303.9662	992.9428	1018.7919	447.3518	1135.3643	1009.0206	449.8669	728.9272	2099.2602	517.9028	1171.8427	544.7154	561.2517	264.17	110.1896	734.0426	397.3244	657.9297	460.6004	308.6383	1328.5973	969.0669	409.0909	590.4047	1121.0428	1526.1122	993.1389	864.527	1735.274	1879.925	999.6847	918.8742	415.9091	3654.102	1020.5882	3803.8952	1622.5071	467.2395	531.7287	615.6942	613.1528	6315.0918	669.2308	1321.2593	259.2593	203.9518	205.7728	565.3168	85.8521	2474.4376
2-deoxytetronic acid NIST	369.0566	243.3894	370.4206	257.8125	391.387	226.1166	682.4503	754.771	279.0456	304.3629	252.5773	270.1801	410.2398	425.0173	492.1105	336.7125	349.5603	344.1744	252.4308	264.2105	366.7297	335.3783	325.5895	441.1765	491.5433	670.5508	519.942	725.1229	576.7063	190.9091	769.6281	446.6801	429.4872	411.5735	393.311	437.1429	316.8148	380.7925	371.885	322.4588	653	615.7143	260.0849	308.9219	291.6912	669.5942	540.566	491.573	374.7454	404.2969	469.4819	353.5032	696.0323	185.8586	334.3816	310.6695	226.2679	403.3169	297.9866	215.6368	497.4874	476.482	319.4321	282.567	442.9716	458.4399	287.7847	268.2927	278.6285	402.834	394.5498	278.9979	297.9933	263.7691	324.5779	356.3287	319.2261	451.8256	431.8182	306.4621	559.5903	514.5068	512.0069	409.4595	519.863	609.2871	433.1652	616.8874	400.5682	882.4834	339.2157	415.0437	603.9886	634.8013	366.5208	404.4266	700.1934	407.8858	510	324.9831	298.1481	264.2331	229.9814	531.0255	499.6785	384.4581
2-hydroxybutanoic acid	1744.5283	563.4014	1899.9322	815.2174	1223.5592	1539.0819	9843.3775	9789.1221	1286.3071	542.2438	1132.9897	784.523	1456.2541	2091.9143	1412.2288	2350.4707	1765.7035	613.2952	1694.0912	908.4211	362.949	467.2802	2577.6699	1033.0469	936.5751	6105.9322	1275.9246	2110.8722	7440.8265	1896.5035	6009.2975	7754.5272	2458.3333	1877.4382	3891.9732	2226.4286	3277.8537	1549.362	2057.8275	3214.2857	3798	7110	785.5626	1212.2677	1533.5887	2020.5936	1749.0566	2698.5019	1063.1365	11423.8281	2930.802	3287.5796	6358.1036	1385.8586	742.1384	2300.2092	1892.0676	2165.8433	1585.5705	1857.5032	930.9045	1403.3505	1844.7205	1147.5096	3083.2306	2995.2046	1451.3458	1554.878	809.9201	3593.1174	791.4692	1205.5594	965.2174	810.219	2863.0394	1367.7265	2052.2975	1646.0446	1661.9318	1886.7493	2922.7188	4245.648	1889.7942	579.7297	5936.3014	10532.364	1168.0328	2581.7881	2957.3864	5270.51	3453.9216	2648.4218	13841.8803	1018.2599	1398.2495	2626.7606	2228.2398	2671.6519	3390	865.2674	1096.2963	2830.2076	2447.8585	4993.7949	2568.8103	3458.0777
2-hydroxyglutaric acid	120	99.1587	149.5929	139.606	95.9468	150.7444	143.0464	43.8931	102.6971	129.8476	145.3608	47.0314	270.2528	123.3587	126.2327	131.4265	183.7312	124.3746	164.9215	92.6316	81.2854	101.227	120.6657	111.0377	164.9049	167.3729	169.6882	79.2383	95.8046	143.7063	172.5207	117.7062	137.8205	133.6151	205.6856	154.2857	97.4026	139.0195	116.9329	141.1401	103	208.5714	123.1423	123.7918	53.0348	107.2078	193.3962	126.4045	133.4012	192.3828	124.5564	125.1592	282.4479	129.2929	161.4256	102.5105	51.6905	105.8574	190.2685	166.4565	124.3719	86.018	232.9193	169.5402	248.767	109.335	175.9834	86.3821	134.8202	194.332	136.2559	212.0796	115.3846	182.15	144.4653	136.7726	38.0895	42.5963	219.697	185.0522	143.3892	144.1006	213.5506	143.9189	116.0959	129.4559	153.2156	334.7682	165.3409	465.6319	168.6275	141.0343	176.6382	80.5585	126.9147	36.2173	66.7311	182.5289	176.5385	149.2891	137.963	139.6517	133.1471	88.1777	135.0482	139.0593
2-ketoisocaproic acid	782.2642	904.1466	921.981	826.4266	710.5763	706.2655	7128.4768	1815.8397	1250	705.3324	917.5258	836.5577	799.0927	928.8182	1141.0256	1070.9631	995.9171	474.9821	877.3373	1216.8421	932.8922	886.5031	717.7531	1014.2102	1274.8414	6159.9576	810.3698	1192.2604	1265.1847	1096.1538	1332.6446	5396.3783	1368.5897	1116.71	861.8729	936.4286	2020.8476	1210.8798	2180.5112	789.1484	1126	842.8571	867.3036	1579.1822	2817.0301	4528.1647	1266.0377	928.839	1010.1833	1366.2109	1275.3726	1058.5987	1053.1271	1021.2121	669.8113	837.8661	807.5423	1077.6288	1035.906	808.6381	835.7412	581.8299	1336.291	636.0153	1010.7891	1486.5729	746.3768	762.1951	737.0173	1361.336	887.4408	821.5511	705.3512	665.8925	928.7054	978.1044	1012.0919	2196.7546	553.9773	752.9373	1073.5568	1913.9265	1880.789	1151.3514	1308.9041	1799.7186	938.2093	1491.0596	1476.1364	7239.4678	1132.3529	1028.5426	2505.698	1466.1654	2494.5295	788.7324	1463.2495	860.639	1194.2308	1014.5565	782.4074	948.426	761.6387	2421.9464	760.1286	1259.7137
