identifier	name	reference_metabolomics_workbench	reference_pubchem	reference_kegg
1,5-anhydroglucitol	1,5-Anhydrosorbitol	ME136668	64960	C07326
1-monopalmitin	MG(16:0/0:0/0:0)	ME136670	14900	C01885
1-monostearin	MG(18:0/0:0/0:0)	ME136669	24699	D01947
2,4-hexadienedioic acid NIST	-	ME136664	5280518	C02480
2,5-dihydroxypyrazine NIST	-	ME136671	23368901	-
2-hydroxybutanoic acid	Alpha-hydoxy butyric acid	ME136667	440864	C05984
2-hydroxyglutaric acid	2-hydroxyglutaric acid	ME136666	43	C02630
2-ketoisocaproic acid	Ketoleucine	ME136665	70	C00233
3-aminoisobutyric acid	3-amino-isobutanoic acid	ME136663	64956	C05145
3-hydroxybutyric acid	beta-hydroxybutyric acid	ME136662	92135	C01089
3-phosphoglycerate	3-Phosphoglyceric acid	ME136661	724	C00597
4-hydroxyhippuric acid NIST	-	ME136660	151012	-
adenine	Adenine	ME136659	190	C00147
adenosine	Adenosine	ME136658	60961	C00212
adenosine-5-monophosphate	AMP	ME136657	6083	C00020
adipic acid	Adipic acid	ME136656	196	C06104
alanine	Alanine	ME136655	5950	C00041
alpha-ketoglutarate	Oxoglutaric acid	ME136654	51	C00026
aminomalonate	Aminomalonic acid	ME136653	100714	C00872
arachidic acid	Arachidic acid	ME136652	10467	C06425
arachidonic acid	Arachidonic acid	ME136651	444899	C00219
ascorbic acid	Vitamin C	ME136650	54670067	C00072
asparagine	Asparagine	ME136649	6267	C00152
aspartic acid	Aspartic acid	ME136648	5960	C00049
behenic acid	Behenic acid	ME136647	8215	C08281
benzoic acid	Benzoic acid	ME136646	243	C00180
beta-alanine	Beta-Alanine	ME136645	239	C00099
beta-glycerolphosphate	Beta-Glycerophosphoric acid	ME136644	2526	C02979
bisphosphoglycerol NIST	-	ME136643	102018	-
capric acid	Capric acid	ME136642	2969	C01571
cellobiose	Maltose	ME136641	6255	C01971
cholestan-3-ol	-	ME136640	66066	C12978
cholesterol	Cholesterol	ME136639	5997	C00187
citric acid	Citric acid	ME136638	311	C00158
creatinine	Creatinine	ME136637	588	C00791
cysteine	Cysteine	ME136636	5862	C00097
cysteine-glycine	Cys-Gly	ME136635	439498	C01419
cystine	Cystine	ME136634	595	C01420
cytidine-5-monophosphate	CMP	ME136633	-	-
dehydroabietic acid	Dehydroabietic acid	ME136632	94391	C12078
dehydroascorbic acid	Dehydroascorbic acid	ME136631	440667	C05422
dodecanoic acid, isopropanol ester NIST	-	ME136630	-	-
dodecanol	Dodecanol	ME136629	8193	C02277
epsilon-caprolactam	Epsilon-caprolactam	ME136628	7768	C06593
erythritol	Erythritol	ME136627	222285	C00503
erythronic acid lactone	Erythrono-1,4-lactone	ME136626	5325915	C02341
ethanolamine	Ethanolamine	ME136625	700	C00189
fructose	Fructose	ME136624	439709	C02336
fructose-6-phosphate	Fructose-6-phosphate	ME136623	440641	C05345
fumaric acid	Fumaric acid	ME136622	444972	C00122
galactonic acid	Galactonic acid	ME136621	128869	C00880
gluconic acid	Gluconic acid	ME136620	6857417	C00800
gluconic acid lactone	Gluconolactone	ME136619	7027	C00198
glucose	Glucose	ME136618	64689	C00221
glucose-1-phosphate	Glucose-1-phosphate	ME136617	65533	C00103
glucose-6-phosphate	Glucose-6-phosphate	ME136616	5958	C00092
glutamic acid	Glutamic acid	ME136615	33032	C00025
glutamine	Glutamine	ME136614	5961	C00064
glutaric acid	Glutaric acid	ME136613	743	C00489
glyceric acid	Glyceric acid	ME136612	439194	C00258
glycerol	Glycerol	ME136611	753	C00116
