Samples	S00020370	S00020376	S00020382	S00020388	S00020394	S00020400	S00020406	S00020412	S00020418	S00020424	S00020371	S00020377	S00020383	S00020389	S00020395	S00020401	S00020407	S00020413	S00020419	S00020425	S00020372	S00020378	S00020384	S00020390	S00020396	S00020402	S00020408	S00020414	S00020420	S00020426	S00020367	S00020373	S00020379	S00020385	S00020391	S00020397	S00020403	S00020409	S00020415	S00020421	S00020368	S00020374	S00020380	S00020386	S00020392	S00020398	S00020404	S00020410	S00020416	S00020422	S00020369	S00020375	S00020381	S00020387	S00020393	S00020399	S00020405	S00020411	S00020417	S00020423
Factors	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:1	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:4	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Muscles | Visit #:5	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:1	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:4	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5	Sample type:Plasma | Visit #:5
ADENOSINE																															17696	24825	19506	16674	15937	18949	21679	19883	19660	11504	19876	16957	31325	18509	15499	18220	15298	17235	18524	19203	15612	24504	23229	14521	17485	13214	22992	20355	18381	16008
DL-ASPARTIC ACID	12804.1131	172544.1287	75904.2313	33601.0833	348467.9030	19867.1579	15474.9670	8878.5984	122408.6533	21750.0017	162189.9419	100623.9231	11606.6257	67439.5303	244026.6525	24123.7750	12599.7487	10823.4310	30859.7724	13510.5492	166906.5294	241481.5815	14498.3970	19506.2579	74576.9983	112015.4524	3810.8167	19049.0699	22060.7373	5542.3412																														
DL-GLUTAMIC ACID	2090129.9230	2787591.5060	2227252.7790	5004542.2430	3450508.8390	3398160.8770	2448721.0400	1841348.9540	3061176.1870	1662828.8730	3674842.2640	3565089.7660	6646916.7130	5081315.7030	4553101.2160	1158417.5520	2851325.8130	2622687.3330	4114326.2880	2428945.4260	2702263.1050	4583499.9810	4197517.0700	3319579.1860	1558298.2630	2096464.2620	2500163.0500	4689618.7040	2439632.8420	1574471.0310																														
HEXOPYRANOSE	374163.4048	162410.9620	363812.0204	463794.4167	520095.3758	297252.6433	543451.2865	358453	433186.0367	543748.7612	598355.6124	346018.4712	458837.9883	571046.0455	653019.8298	97160.2833	606841.3513	408917.3276	536136.0929	622779.5519	552352.0523	279469.5593	404586.3182	366497.1321	211706.7183	253294.9116	556962.5639	623573.7796	376019.8249	9586.8314																														
L-GLUTAMINE	11128534.1900	7848071.5990	10807291.8500	22850201.3100	12994004.3300	15343024.5400	10205829.7900	8314053.9060	16885319.5900	6587756.1630	16581262.4800	19268099.2600	20387562.7000	20497620.4600	14783560.0400	4670726.2040	11763404.2900	12261528.2500	17289016.2500	12216105.6700	14418505.1600	14548005.7200	14913784.4600	12115842.3000	5754045.9570	11018460.6000	9267364.2470	22760325.6400	13584570.4400	6287764.1240																														
OLEIC ACID	1627517.4130	1143297.3510	1545401.1670	834833.6800	1043744.4240	510791.8713	712598.3681	380687.6948	999586.5367	1322434.3280	836971.5194	1939034.5220	1075357.9090	810423.8818	1468584.3300	451970.3167	333816.8282	269410.3257	342796.5641	2905382.6070	1253226.3660	1924001.6930	2083078.4060	628609.3931	356550.7000	253048.7823	983026.9944	367230.5323	442244.1836	2786794.9000																														
STEARIC ACID	2323263.8040	3603828.9330	2890559.6940	2367534.1970	2369778.6390	1603781.1200	996029.8003	821250.1285	2187536.8300	1032126.8900	2728434.2790	3018109.1760	1871034.5290	1804689.2910	3011100.6990	1016911.4540	1434877.4410	1145888.1550	2258377.5160	3513217.6990	3189204.8530	3279834.5890	1964153.5730	3022993.7480	762418.8383	1702422.7480	1315485.0030	2578414.6400	1591018.8560	2792686.8370																														
XANTHINE	36034.4643	19223.6784	37089.3946	62956.1833	25352.6970	8030.4064	16645.1250	10530.1345	27084.7733	18863.4175	37320.2403	29011.5096	22616.6696	43825.2394	22648.5071	8028.0479	14967.8205	9379.3065	20591.5128	31845.6393	26718.2582	40540.9556	36329.0697	56678.4057	15286.1617	6804.0782	32924.5028	25977.6452	26359.7203	70565.0176																														
																																																												
