### user_MNET1 ###
#
# code	#reac	#chem	#comp	description
# 0	0	0	0	not mapped to the MNXref namespace
# 0.1	0	43	0	not mapped to the MNXref namespace and ID modified
# 0.2	1315	0	0	partially mapped to the MNXref namespace
# 1	0	1	0	mapped to the MNXref namespace with same ID and same description
# 1.1	0	947	10	mapped to the MNXref namespace with different ID but same description
# 1.2	0	0	0	mapped to the MNXref namespace with same ID but different description
# 1.3	4533	741	0	mapped to the MNXref namespace with different ID and different description
# 2	26	0	0	merged with the same description
# 2.2	50	7	0	merged with different description
#
#type	code	old_ID	old_desc	new_ID	new_desc	comment
chem	0.1	MNXMK0001_m	2,7-decadienoylcoa	MNXMK0001	2,7-decadienoylcoa	
chem	0.1	MNXMK0004_x	2,6,9-dodecatrienoylcoa	MNXMK0004	2,6,9-dodecatrienoylcoa	
chem	0.1	MNXMK0005_m	2,7,10,13-hexadecatetraenoylcoa	MNXMK0005	2,7,10,13-hexadecatetraenoylcoa	
chem	0.1	MNXMK0006_x	2,7,10-hexadecatrienoylcoa	MNXMK0006	2,7,10-hexadecatrienoylcoa	
chem	0.1	MNXMK0007_m	2,6,9,12-octadecatetraenoylcoa	MNXMK0007	2,6,9,12-octadecatetraenoylcoa	
chem	0.1	MNXMK0008_m	2,6,9,12,15-octadecapentenoylcoa	MNXMK0008	2,6,9,12,15-octadecapentenoylcoa	
chem	0.1	MNXMK0011_x	3,7-decadienoylcoa	MNXMK0011	3,7-decadienoylcoa	
chem	0.1	MNXMK0012_x	3,7,10,13,16-docosapentenoylcoa	MNXMK0012	3,7,10,13,16-docosapentenoylcoa	
chem	0.1	MNXMK0013_x	3,6,9-dodecatrienoylcoa	MNXMK0013	3,6,9-dodecatrienoylcoa	
chem	0.1	MNXMK0016_x	3,7,10,13-hexadecatetraenoylcoa	MNXMK0016	3,7,10,13-hexadecatetraenoylcoa	
chem	0.1	MNXMK0017_m	3,7,10-hexadecatrienoylcoa	MNXMK0017	3,7,10-hexadecatrienoylcoa	
chem	0.1	MNXMK0019_c	3-hydroxyoctadecadienoylcoa	MNXMK0019	3-hydroxyoctadecadienoylcoa	
chem	0.1	MNXMK0020_e	3-hydroxyoctadecadienoylcarnitine	MNXMK0020	3-hydroxyoctadecadienoylcarnitine	
chem	0.1	MNXMK0023_m	3,6,9,12-octadecatetraenoylcoa	MNXMK0023	3,6,9,12-octadecatetraenoylcoa	
chem	0.1	MNXMK0024_m	3,6,9,12,15-octadecapentenoylcoa	MNXMK0024	3,6,9,12,15-octadecapentenoylcoa	
chem	0.1	MNXMK0026_c	3-hydroxy tetradecenoyl-7-coa	MNXMK0026	3-hydroxy tetradecenoyl-7-coa	
chem	0.1	MNXMK0027_e	3-hydroxy tetradecenoyl-7-carnitine	MNXMK0027	3-hydroxy tetradecenoyl-7-carnitine	
chem	0.1	MNXMK0028_m	3-hydroxy trans7,10-hexadecadienoylcoa	MNXMK0028	3-hydroxy trans7,10-hexadecadienoylcoa	
chem	0.1	MNXMK0029_e	3-hydroxy trans7,10-hexadecadienoyl carnitine	MNXMK0029	3-hydroxy trans7,10-hexadecadienoyl carnitine	
chem	0.1	MNXMK0031_c	3-hydroxy trans5,8tetradecadienoyl carnitine	MNXMK0031	3-hydroxy trans5,8tetradecadienoyl carnitine	
chem	0.1	MNXMK0032_x	4,7,10-hexadecatrienoylcoa	MNXMK0032	4,7,10-hexadecatrienoylcoa	
chem	0.1	MNXMK0033_m	5,8,11,14,17-eicosapentenoylcoa	MNXMK0033	5,8,11,14,17-eicosapentenoylcoa	
chem	0.1	MNXMK0034_m	5,8,11-tetradecatrienoylcoa	MNXMK0034	5,8,11-tetradecatrienoylcoa	
chem	0.1	MNXMK0036_x	dodecanedioylcoa	MNXMK0036	dodecanedioylcoa	
chem	0.1	MNXMK0037_x	tetradecanedioylcoa	MNXMK0037	tetradecanedioylcoa	
chem	0.1	MNXMK0041_m	5-dodecenoylcoa	MNXMK0041	5-dodecenoylcoa	
chem	0.1	MNXMK0045_m	2,4,7,10,13,16-docosahexenoylcoa	MNXMK0045	2,4,7,10,13,16-docosahexenoylcoa	
chem	0.1	MNXMK0048_c	Antichymotrypsin	MNXMK0048	Antichymotrypsin	
chem	0.1	MNXMK0049_c	Antitrypsin	MNXMK0049	Antitrypsin	
chem	0.1	MNXMK0051_r	ApoB100	MNXMK0051	ApoB100	
chem	0.1	MNXMK0052_c	ApoC1	MNXMK0052	ApoC1	
chem	0.1	MNXMK0053_c	ApoC2	MNXMK0053	ApoC2	
chem	0.1	MNXMK0054_r	ApoC3	MNXMK0054	ApoC3	
chem	0.1	MNXMK0055_r	ApoE	MNXMK0055	ApoE	
chem	0.1	MNXMK0065_c	1-Acylglycerol-3P-palmn	MNXMK0065	1-Acylglycerol-3P-palmn	
chem	0.1	MNXMK0076_m	(S)-3-hydroxyoleyleoyl-CoA	MNXMK0076	(S)-3-hydroxyoleyleoyl-CoA	
chem	0.1	MNXMK0079_m	7,10-hexadecadienoylcoa	MNXMK0079	7,10-hexadecadienoylcoa	
chem	0.1	MNXMK0081_x	2,4,7,10-hexadecatetraenoylcoa	MNXMK0081	2,4,7,10-hexadecatetraenoylcoa	
chem	0.1	MNXMK0083_m	7,10,13-hexadecatrienoylcoa	MNXMK0083	7,10,13-hexadecatrienoylcoa	
chem	0.1	MNXMK0090_m	7-tetradecenoylcoa	MNXMK0090	7-tetradecenoylcoa	
chem	0.1	MNXMK0091_x	5-tetradecenoylcoa	MNXMK0091	5-tetradecenoylcoa	
chem	0.1	MNXMK0094_m	trans7,10-hexadecadienoylcoa	MNXMK0094	trans7,10-hexadecadienoylcoa	
